,tag,is_np_part,is_after_StopWord,is_after_verb,is_before_StopWord,is_before_verb,np_index,tag_before,tag_after,is_after_StartStops,is_before_key_stop,token_tf,normalized_tfnum_set
463,27,0,1,1,1,0,-1,18,2,0,0,1,0.020833333333333332
464,2,0,0,0,0,0,-1,27,13,0,0,1,0.020833333333333332
465,13,0,1,0,1,0,-1,2,7,0,0,1,0.020833333333333332
466,7,0,0,0,1,1,-1,13,17,0,0,3,0.0625
467,17,0,1,0,0,0,-1,7,16,0,0,2,0.041666666666666664
468,16,1,1,1,0,0,2,17,13,0,0,1,0.020833333333333332
469,13,1,0,0,0,0,2,16,13,0,0,1,0.020833333333333332
470,13,0,0,0,1,1,-1,13,27,0,0,1,0.020833333333333332
471,27,0,0,0,1,0,-1,13,7,0,0,1,0.020833333333333332
472,7,0,1,1,0,0,-1,27,16,0,0,1,0.020833333333333332
473,16,1,1,0,1,0,1,7,1,0,0,3,0.0625
474,1,0,0,0,0,0,-1,16,4,0,0,1,0.020833333333333332
475,4,0,1,0,0,0,-1,1,13,0,0,1,0.020833333333333332
476,13,0,0,0,1,0,-1,4,17,0,0,1,0.020833333333333332
477,17,0,0,0,1,0,-1,13,16,0,0,2,0.041666666666666664
478,16,1,1,0,0,0,4,17,13,0,0,1,0.020833333333333332
479,13,1,1,0,0,0,4,16,22,0,0,1,0.020833333333333332
480,22,0,0,0,0,0,-1,13,16,0,0,1,0.020833333333333332
481,16,1,0,0,0,0,5,22,13,0,0,1,0.020833333333333332
482,13,1,0,0,1,0,5,16,7,0,0,1,0.020833333333333332
483,7,0,0,0,0,0,-1,13,13,0,0,3,0.0625
484,13,0,1,0,1,0,-1,7,7,0,0,1,0.020833333333333332
485,7,0,0,0,0,0,-1,13,16,0,0,1,0.020833333333333332
486,16,1,1,0,0,0,6,7,16,0,0,1,0.020833333333333332
487,16,1,0,0,0,0,6,16,3,0,0,1,0.020833333333333332
488,3,1,0,0,0,0,6,16,13,0,0,1,0.020833333333333332
489,13,1,0,0,1,1,6,3,18,0,0,1,0.020833333333333332
490,18,0,0,0,1,0,-1,13,14,0,0,2,0.041666666666666664
491,14,0,1,1,0,0,-1,18,13,0,0,1,0.020833333333333332
492,13,1,1,0,1,0,1,14,27,0,0,3,0.0625
493,27,0,0,0,0,0,-1,13,0,0,0,1,0.020833333333333332
494,1,0,0,0,0,0,-1,0,1,0,0,1,0.08333333333333333
495,1,0,0,0,0,0,-1,1,16,0,0,1,0.08333333333333333
496,16,1,0,0,0,0,0,1,13,0,0,1,0.08333333333333333
497,13,1,0,0,1,0,0,16,13,0,0,1,0.08333333333333333
498,13,0,0,0,1,0,-1,13,27,0,0,1,0.08333333333333333
499,27,0,1,0,0,0,-1,13,27,0,0,1,0.08333333333333333
500,27,0,1,0,1,0,-1,27,17,0,0,1,0.08333333333333333
501,17,0,0,0,0,0,-1,27,9,0,0,1,0.08333333333333333
502,9,0,1,0,0,0,-1,17,13,1,0,1,0.08333333333333333
503,13,0,0,0,0,0,-1,9,13,0,0,1,0.08333333333333333
504,13,0,0,0,1,1,-1,13,27,0,0,1,0.08333333333333333
505,27,0,0,0,0,0,-1,13,0,0,0,1,0.08333333333333333
506,1,0,0,0,0,0,-1,0,13,0,0,1,0.027777777777777776
507,13,0,0,0,0,0,0,1,1,0,0,3,0.08333333333333333
508,1,0,0,0,1,0,-1,13,2,0,0,1,0.027777777777777776
509,2,0,0,0,1,0,-1,1,20,0,0,1,0.027777777777777776
510,20,0,1,0,0,0,-1,2,13,0,0,1,0.027777777777777776
511,13,0,1,0,0,0,-1,20,27,0,0,1,0.027777777777777776
512,27,0,0,0,1,0,0,13,7,0,0,3,0.08333333333333333
513,7,0,0,0,0,0,-1,27,13,0,0,2,0.05555555555555555
514,13,0,1,0,0,0,-1,7,14,0,0,1,0.027777777777777776
515,14,0,0,0,0,0,-1,13,13,0,0,1,0.027777777777777776
516,13,0,0,0,0,0,-1,14,16,0,0,1,0.027777777777777776
517,16,1,0,0,1,0,0,13,9,0,0,3,0.08333333333333333
518,9,0,0,0,0,0,-1,16,13,0,0,1,0.027777777777777776
519,13,0,1,0,0,0,-1,9,27,0,0,1,0.027777777777777776
520,27,0,0,0,0,0,-1,13,3,0,0,1,0.027777777777777776
